Lemma;Wordlist;Rank;SFI;U;D;F;Rank;Coverage;Cumulative
carry;1 - NGSL;446;63.53730570243080000000;225.80344850050300000000;0.9722;64,169;480;0.0002;0.74237625979422500000
choose;1 - NGSL;447;63.52885434282180000000;225.36446283313700000000;0.9297;66,558;463;0.0002;0.73832074037682700000
father;1 - NGSL;448;63.51399367754880000000;224.59462978020200000000;0.9255;66,587;462;0.0002;0.73807748486593500000
decision;1 - NGSL;449;63.50748463833020000000;224.25826808434500000000;0.9658;64,112;481;0.0002;0.74261057568884700000
table;1 - NGSL;450;63.49991760890950000000;223.86786676335200000000;0.9593;64,357;478;0.0002;0.74190657177067900000
certain;1 - NGSL;451;63.48934669631530000000;223.32362546622400000000;0.9492;64,833;472;0.0002;0.74048983629589000000
forward;1 - NGSL;452;63.48446747900460000000;223.07286643607400000000;0.8726;69,588;442;0.0003;0.73310755527173600000
main;1 - NGSL;453;63.47822181242380000000;222.75229192631500000000;0.9231;66,208;467;0.0002;0.73928989199781300000
die;1 - NGSL;454;63.47146890006090000000;222.40620006886900000000;0.9770;62,931;487;0.0002;0.74400076276928600000
bear;1 - NGSL;455;63.45471007489010000000;221.54961898936300000000;0.9126;66,510;464;0.0002;0.73856382045779900000
cut;1 - NGSL;456;63.45161301651570000000;221.39168294970200000000;0.9670;63,216;485;0.0002;0.74354006918385800000
describe;1 - NGSL;457;63.43353644408110000000;220.47210285696300000000;0.9124;66,213;466;0.0002;0.73904791566341200000
himself;1 - NGSL;458;63.42208441124620000000;219.89149963461700000000;0.8625;69,251;443;0.0003;0.73336065313202000000
available;1 - NGSL;459;63.42065303209290000000;219.81903814618000000000;0.8829;67,963;453;0.0002;0.73586634424304500000
especially;1 - NGSL;460;63.42060802135090000000;219.81675993009700000000;0.9767;62,211;491;0.0002;0.74491253418772800000
strong;1 - NGSL;461;63.37943977869800000000;217.74288752267000000000;0.9877;61,025;500;0.0002;0.74693311040673900000
rise;1 - NGSL;462;63.37692211355060000000;217.61669554189900000000;0.9649;62,245;490;0.0002;0.74468516604884000000
girl;1 - NGSL;463;63.37176157901970000000;217.35826455427900000000;0.9228;64,609;476;0.0002;0.74143613816997800000
maybe;1 - NGSL;464;63.36818651642240000000;217.17941133725600000000;0.8544;69,111;444;0.0003;0.73361323932170700000
community;1 - NGSL;465;63.36602604365860000000;217.07139856398800000000;0.9269;64,344;479;0.0002;0.74214173557657400000
else;1 - NGSL;466;63.33692397235230000000;215.62166597202900000000;0.9127;64,760;475;0.0002;0.74120000584474000000
particular;1 - NGSL;467;63.33396905697430000000;215.47500809407400000000;0.9358;63,323;484;0.0002;0.74330902798105000000
role;1 - NGSL;468;63.32792112563170000000;215.17514909620900000000;0.9245;63,891;483;0.0002;0.74307759571571500000
join;1 - NGSL;469;63.32509501480720000000;215.03517241515600000000;0.9100;64,762;474;0.0002;0.74096332164621600000
difficult;1 - NGSL;470;63.31845028765910000000;214.70641909434000000000;0.9847;60,338;504;0.0002;0.74781922885437400000
please;1 - NGSL;471;63.28031822831890000000;212.82949906129000000000;0.8004;71,438;429;0.0003;0.72976126977695500000
detail;1 - NGSL;472;63.27987912578380000000;212.80798157667800000000;0.9474;61,856;492;0.0002;0.74513860487617500000
difference;1 - NGSL;473;63.26525746911920000000;212.09271273730700000000;0.9221;63,121;486;0.0002;0.74377076318161900000
action;1 - NGSL;474;63.21360368771560000000;209.58508291185200000000;0.9449;61,073;499;0.0002;0.74671007684875700000
health;1 - NGSL;475;63.20527077931890000000;209.18333272600300000000;0.9511;60,614;502;0.0002;0.74737718200737800000
eat;1 - NGSL;476;63.19403527972100000000;208.64286035050700000000;0.9115;62,688;488;0.0002;0.74422987424299000000
step;1 - NGSL;477;63.17562543754970000000;207.76029044391600000000;0.9781;58,730;516;0.0002;0.75042872331015600000
true;1 - NGSL;478;63.17159928211300000000;207.56777415655700000000;0.9821;58,467;518;0.0002;0.75085688926484200000
phone;1 - NGSL;479;63.16291873152140000000;207.15330813318800000000;0.8700;64,790;473;0.0002;0.74072663013811300000
themselves;1 - NGSL;480;63.16051653258590000000;207.03875778130800000000;0.9846;58,183;522;0.0002;0.75170855400742000000
draw;1 - NGSL;481;63.15404590136720000000;206.73051671433500000000;0.9594;59,426;510;0.0002;0.74913207326944600000
white;1 - NGSL;482;63.14075102154310000000;206.09862869611300000000;0.9567;59,393;511;0.0002;0.74934914221019500000
date;1 - NGSL;483;63.12502978734710000000;205.35391112026300000000;0.8446;66,015;468;0.0002;0.73953116295775000000
practice;1 - NGSL;484;63.12373055704680000000;205.29248687229000000000;0.9141;61,548;495;0.0002;0.74581482873577400000
model;1 - NGSL;485;63.11843246681740000000;205.04219703433800000000;0.7856;69,948;440;0.0003;0.73259779978573700000
raise;1 - NGSL;486;63.10725715344860000000;204.51525845086500000000;0.9845;57,484;530;0.0002;0.75339896015523800000
customer;1 - NGSL;487;63.10693858946200000000;204.50025738376900000000;0.8250;66,960;461;0.0002;0.73783412336613400000
front;1 - NGSL;488;63.06618906998280000000;202.59042102653900000000;0.9649;57,944;525;0.0002;0.75234501740692400000
explain;1 - NGSL;489;63.05734204455570000000;202.17814356345200000000;0.9829;56,902;533;0.0002;0.75402419238516200000
door;1 - NGSL;490;63.05228331729860000000;201.94278053353400000000;0.7934;68,246;450;0.0002;0.73512011653634100000
outside;1 - NGSL;491;63.01965360550130000000;200.43121564889800000000;0.9887;56,122;537;0.0002;0.75484839869068800000
behind;1 - NGSL;492;63.00625771471070000000;199.81393448449400000000;0.9272;59,161;514;0.0002;0.74999926721461100000
economic;1 - NGSL;493;62.98913180945500000000;199.02754267167100000000;0.8989;60,612;503;0.0002;0.74759870613710200000
site;1 - NGSL;494;62.98485865199150000000;198.83180963862100000000;0.9187;59,370;512;0.0002;0.74956612709077500000
approach;1 - NGSL;495;62.97846478057820000000;198.53929621729900000000;0.9060;59,990;507;0.0002;0.74847812900951000000
teacher;1 - NGSL;496;62.97806891086020000000;198.52119971446500000000;0.9354;58,336;519;0.0002;0.75107009509259100000
land;1 - NGSL;497;62.93533866432650000000;196.57752664331300000000;0.9734;55,800;541;0.0002;0.75566622007813400000
charge;1 - NGSL;498;62.93509416602940000000;196.56646006991300000000;0.8701;61,650;494;0.0002;0.74558988372263800000
finally;1 - NGSL;499;62.93383293608800000000;196.50938370346000000000;0.9383;57,577;529;0.0002;0.75318886820854400000
sign;1 - NGSL;500;62.93367485175430000000;196.50223084039400000000;0.9777;55,568;543;0.0002;0.75607316632224800000
claim;1 - NGSL;501;62.93183034599050000000;196.41879147957800000000;0.9164;58,775;515;0.0002;0.75021407749515800000
relationship;1 - NGSL;502;62.92879271141880000000;196.28145611734200000000;0.9509;56,870;534;0.0002;0.75423204029081400000
travel;1 - NGSL;503;62.91092607209920000000;195.47562357012600000000;0.8869;60,134;506;0.0002;0.74825887815914800000
enjoy;1 - NGSL;504;62.89286413149600000000;194.66434515435800000000;0.8460;62,329;489;0.0002;0.74445767364709400000
death;1 - NGSL;505;62.88739147347110000000;194.41919802701500000000;0.9570;56,019;539;0.0002;0.75525805678896000000
nice;1 - NGSL;506;62.86243924507340000000;193.30537252042100000000;0.7877;65,860;470;0.0002;0.74001286793072100000
amount;1 - NGSL;507;62.86195851758460000000;193.28397642463400000000;0.8802;59,973;508;0.0002;0.74869731772844200000
improve;1 - NGSL;508;62.83159063510460000000;191.93715957465400000000;0.8508;61,195;497;0.0002;0.74626329339395900000
picture;1 - NGSL;509;62.83076772301540000000;191.90079428511500000000;0.9915;53,603;558;0.0002;0.75905991550841900000
boy;1 - NGSL;510;62.82514138421140000000;191.65234539832400000000;0.9500;55,559;544;0.0002;0.75627622279824800000
regard;1 - NGSL;511;62.82133407182020000000;191.48440391385100000000;0.8654;60,160;505;0.0002;0.74803910101903100000
organization;1 - NGSL;512;62.82124921882130000000;191.48066270417400000000;0.9012;58,147;523;0.0002;0.75192106907986500000
happy;1 - NGSL;513;62.81024266554960000000;190.99599761410900000000;0.8504;60,890;501;0.0002;0.74715565056807500000
couple;1 - NGSL;514;62.81010423365810000000;190.98990969060900000000;0.9655;54,614;548;0.0002;0.75708146439861400000
act;1 - NGSL;515;62.79565375138810000000;190.35547615732000000000;0.9640;54,500;552;0.0002;0.75787903094004100000
range;1 - NGSL;516;62.78598884911900000000;189.93232515378700000000;0.8894;58,308;520;0.0002;0.75128319858622200000
quality;1 - NGSL;517;62.78221859837910000000;189.76751031554400000000;0.9261;56,263;535;0.0002;0.75443766973895400000
project;1 - NGSL;518;62.78197275091030000000;189.75676817086100000000;0.9336;55,879;540;0.0002;0.75546228279775100000
round;1 - NGSL;519;62.77148218176140000000;189.29895572849300000000;0.8679;59,352;513;0.0002;0.74978304618513500000
opportunity;1 - NGSL;520;62.76170344923830000000;188.87320281454100000000;0.9546;54,547;551;0.0002;0.75767984488662100000
road;1 - NGSL;521;62.76088215441630000000;188.83748835731300000000;0.9646;54,033;554;0.0002;0.75827446459574600000
accord;1 - NGSL;522;62.74122887774030000000;187.98486626983600000000;0.9158;56,259;536;0.0002;0.75464328456793400000
list;1 - NGSL;523;62.72893655517040000000;187.45354395801800000000;0.9458;54,576;550;0.0002;0.75748048705807100000
wish;1 - NGSL;524;62.72570049022630000000;187.31391844564100000000;0.9154;56,069;538;0.0002;0.75505331910957300000
therefore;1 - NGSL;525;62.71974592238370000000;187.05727020524400000000;0.8846;57,681;528;0.0002;0.75297843636638200000
wear;1 - NGSL;526;62.71477782737390000000;186.84340910708300000000;0.8915;57,198;531;0.0002;0.75360800683200100000
fund;1 - NGSL;527;62.71225727552570000000;186.73500066949100000000;0.6425;76,435;395;0.0003;0.72054262856748900000
rest;1 - NGSL;528;62.70571507431950000000;186.45391529813100000000;0.9773;52,738;564;0.0002;0.76022316206039800000
kid;1 - NGSL;529;62.69597632165240000000;186.03627376073900000000;0.8234;61,173;498;0.0002;0.74648686786085700000
industry;1 - NGSL;530;62.68223727787300000000;185.44867204233700000000;0.8900;56,972;532;0.0002;0.75381622752623000000
education;1 - NGSL;531;62.67472164317030000000;185.12802343942000000000;0.9516;53,606;557;0.0002;0.75886400780160200000
measure;1 - NGSL;532;62.66969518919250000000;184.91388320928800000000;0.8699;57,885;526;0.0002;0.75255657492439700000
kill;1 - NGSL;533;62.64675316235210000000;183.93963325347700000000;0.9371;53,991;555;0.0002;0.75847179036107200000
serve;1 - NGSL;534;62.63676925190650000000;183.51726372206300000000;0.9401;53,710;556;0.0002;0.75866808913041600000
likely;1 - NGSL;535;62.61779752154760000000;182.71733495316300000000;0.9395;53,498;559;0.0002;0.75925543946228900000
certainly;1 - NGSL;536;62.59238727916610000000;181.65139103532400000000;0.9490;52,737;565;0.0002;0.76041590471909900000
national;1 - NGSL;537;62.58377806230500000000;181.29165190992600000000;0.9105;54,602;549;0.0002;0.75728102324061200000
itself;1 - NGSL;538;62.57312056892740000000;180.84731151090600000000;0.9611;51,909;570;0.0002;0.76136969525783800000
teach;1 - NGSL;539;62.57031563399450000000;180.73054715242000000000;0.9794;51,027;580;0.0002;0.76325360791546200000
field;1 - NGSL;540;62.56753810976400000000;180.61499813956900000000;0.9669;51,571;576;0.0002;0.76250450023426100000
security;1 - NGSL;541;62.54147117578720000000;179.53416971696300000000;0.6135;76,756;391;0.0003;0.71942354284273100000
air;1 - NGSL;542;62.52986412157190000000;179.05498319321300000000;0.9596;51,465;577;0.0002;0.76269259400012000000
benefit;1 - NGSL;543;62.52946352636900000000;179.03846784193200000000;0.9263;53,096;560;0.0002;0.75944949419059100000
trade;1 - NGSL;544;62.51770798773840000000;178.55449952660000000000;0.8398;57,746;527;0.0002;0.75276762442606400000
risk;1 - NGSL;545;62.51723997081460000000;178.53525865928900000000;0.8822;55,266;546;0.0002;0.75668068013039200000
news;1 - NGSL;546;62.51218248809550000000;178.32747028573700000000;0.8790;55,399;545;0.0002;0.75647869450785300000
standard;1 - NGSL;547;62.50308226949670000000;177.95419362978500000000;0.9199;53,084;561;0.0002;0.75964350506141300000
vote;1 - NGSL;548;62.48821219209310000000;177.34592719344900000000;0.8288;58,054;524;0.0002;0.75213324425684300000
percent;1 - NGSL;549;62.48671501517530000000;177.28479989897600000000;0.8243;58,200;521;0.0002;0.75149590736253500000
focus;1 - NGSL;550;62.47760080316580000000;176.91313573693500000000;0.9317;52,185;568;0.0002;0.76099020014119700000
stage;1 - NGSL;551;62.47273694793530000000;176.71511382977500000000;0.9135;53,016;562;0.0002;0.75983726740651700000
space;1 - NGSL;552;62.46368682079190000000;176.34724614733800000000;0.9696;50,228;594;0.0002;0.76583648819067600000
instead;1 - NGSL;553;62.46002073652160000000;176.19844594454500000000;0.9797;49,730;598;0.0002;0.76656656172570800000
realize;1 - NGSL;554;62.45521067670700000000;176.00340411658600000000;0.9684;50,184;595;0.0002;0.76601990017058100000
usually;1 - NGSL;555;62.43570098369060000000;175.21452206950000000000;0.9594;50,367;589;0.0002;0.76491757165784100000
data;1 - NGSL;556;62.41790334314180000000;174.49795203944300000000;0.7516;61,826;493;0.0002;0.74536456592092400000
single;1 - NGSL;557;62.40954250080570000000;174.16233957507000000000;0.9553;50,258;592;0.0002;0.76546925854917700000
address;1 - NGSL;558;62.37209309570670000000;172.66698653775600000000;0.9636;49,460;601;0.0002;0.76711009112582900000
performance;1 - NGSL;559;62.35999794059080000000;172.18677584821500000000;0.8901;52,848;563;0.0002;0.76003041574690500000
chance;1 - NGSL;560;62.35800516653780000000;172.10778552194600000000;0.9734;48,857;607;0.0002;0.76818767305567600000
accept;1 - NGSL;561;62.35528345227940000000;171.99995973034100000000;0.9803;48,524;613;0.0002;0.76925473284519600000
society;1 - NGSL;562;62.35210198210830000000;171.87400548044700000000;0.9299;50,765;583;0.0002;0.76381085008755500000
technology;1 - NGSL;563;62.35196020147740000000;171.86839453944300000000;0.9117;51,671;575;0.0002;0.76231601906066500000
mention;1 - NGSL;564;62.35131590538760000000;171.84289895393300000000;0.9718;48,850;608;0.0002;0.76836620954576000000
choice;1 - NGSL;565;62.33120847128690000000;171.04912115234300000000;0.9872;47,958;622;0.0002;0.77083922683444500000
save;1 - NGSL;566;62.32681169636460000000;170.87603953306700000000;0.9758;48,404;614;0.0002;0.76943163929895400000
common;1 - NGSL;567;62.31720488764540000000;170.49847103703200000000;0.9325;50,251;593;0.0002;0.76565291540001100000
culture;1 - NGSL;568;62.29362614105630000000;169.57530782735700000000;0.8785;52,591;566;0.0002;0.76060811377846600000
total;1 - NGSL;569;62.28356855770650000000;169.18305221959900000000;0.8327;55,046;547;0.0002;0.75688186169913700000
demand;1 - NGSL;570;62.27104781135850000000;168.69599848805600000000;0.9570;48,607;612;0.0002;0.76907738781664200000
material;1 - NGSL;571;62.26421069933660000000;168.43062877509000000000;0.8983;51,294;578;0.0002;0.76288006279689400000
limit;1 - NGSL;572;62.25431414952250000000;168.04725196443800000000;0.9115;50,535;585;0.0002;0.76418040417547500000
listen;1 - NGSL;573;62.25344318723700000000;168.01355405911300000000;0.9135;50,414;588;0.0002;0.76473349085137000000
due;1 - NGSL;574;62.23334727947300000000;167.23790864661800000000;0.8814;51,738;574;0.0002;0.76212717240807200000
wrong;1 - NGSL;575;62.22871965392250000000;167.05980317316500000000;0.9570;48,138;618;0.0002;0.77013705396605200000
foot;1 - NGSL;576;62.21672877890180000000;166.59918706168200000000;0.9057;50,331;591;0.0002;0.76528557611481300000
effort;1 - NGSL;577;62.21632812315290000000;166.58381826332500000000;0.9749;47,230;629;0.0002;0.77205517911259500000
attention;1 - NGSL;578;62.21001071833890000000;166.34167556589100000000;0.9808;46,904;637;0.0002;0.77343067393735000000
upon;1 - NGSL;579;62.20548356330060000000;166.16836869134400000000;0.8728;51,865;572;0.0002;0.76174892357481100000
check;1 - NGSL;580;62.20331677497350000000;166.08548440596000000000;0.9753;47,073;632;0.0002;0.77257156073281100000
complete;1 - NGSL;581;62.20257671124890000000;166.05718485915900000000;0.9238;49,346;603;0.0002;0.76747084447949900000
lie;1 - NGSL;582;62.19237714607300000000;165.66765106695700000000;0.8991;50,360;590;0.0002;0.76510162688078200000
pick;1 - NGSL;583;62.18984483652280000000;165.57108076556100000000;0.9429;48,327;616;0.0002;0.76978501363167200000
reduce;1 - NGSL;584;62.18727592261820000000;165.47317206596100000000;0.8972;50,448;587;0.0002;0.76454923826977100000
personal;1 - NGSL;585;62.18576946260250000000;165.41578347401200000000;0.9756;46,865;638;0.0002;0.77360195566934200000
ground;1 - NGSL;586;62.17878600481840000000;165.15000853878000000000;0.9645;47,257;628;0.0002;0.77188256338226300000
animal;1 - NGSL;587;62.17053290055250000000;164.83646415134900000000;0.9039;49,874;597;0.0002;0.76638480902044900000
arrive;1 - NGSL;588;62.16912193992480000000;164.78291984118300000000;0.8617;51,926;569;0.0002;0.76117997876523200000
patient;1 - NGSL;589;62.16697585893250000000;164.70151191507400000000;0.7462;58,685;517;0.0002;0.75064320465960600000
current;1 - NGSL;590;62.14984903528260000000;164.05327457959800000000;0.8741;51,180;579;0.0002;0.76306711494761100000
century;1 - NGSL;591;62.13503524805550000000;163.49464205704300000000;0.8764;50,826;582;0.0002;0.76362531467467600000
evidence;1 - NGSL;592;62.13119583227350000000;163.35016715702600000000;0.8833;50,470;586;0.0002;0.76436486142531300000
exist;1 - NGSL;593;62.12544285187350000000;163.13392490825600000000;0.9207;48,623;610;0.0002;0.76872205817128900000
similar;1 - NGSL;594;62.12481675549990000000;163.11040856136800000000;0.8977;49,673;599;0.0002;0.76674810610793800000
fight;1 - NGSL;595;62.12416011216370000000;163.08574850450100000000;0.9370;47,874;624;0.0002;0.77118942880946900000
leader;1 - NGSL;596;62.12283976994550000000;163.03617470629200000000;0.9047;49,361;602;0.0002;0.76729049521358900000
fine;1 - NGSL;597;62.10607149304730000000;162.40789944627000000000;0.9790;45,869;653;0.0002;0.77614442493184600000
street;1 - NGSL;598;62.10533871622220000000;162.38049898174900000000;0.9505;47,061;635;0.0002;0.77308763169588000000
former;1 - NGSL;599;62.10474490868230000000;162.35829833747700000000;0.8877;49,970;596;0.0002;0.76620253002543400000
contact;1 - NGSL;600;62.08896969209910000000;161.76962144583900000000;0.9086;48,742;609;0.0002;0.76854435131852800000
particularly;1 - NGSL;601;62.08522877954640000000;161.63033681996900000000;0.9521;46,783;640;0.0002;0.77394416827348900000
wife;1 - NGSL;602;62.06383953037910000000;160.83625531159200000000;0.9548;46,428;646;0.0002;0.77496408492717400000
sport;1 - NGSL;603;62.05600531478590000000;160.54638515257600000000;0.7959;54,163;553;0.0002;0.75807698532924200000
prepare;1 - NGSL;604;62.03947640722730000000;159.93651948178000000000;0.9711;45,495;658;0.0002;0.77697826891852600000
discuss;1 - NGSL;605;62.03060774460710000000;159.61024875855400000000;0.9659;45,617;657;0.0002;0.77681199424879400000
response;1 - NGSL;606;62.02702830712740000000;159.47875283647600000000;0.8968;48,616;611;0.0002;0.76889973944052100000
voice;1 - NGSL;607;62.02306779415180000000;159.33338378748100000000;0.8316;51,756;573;0.0002;0.76193808088455200000
piece;1 - NGSL;608;62.01473883917520000000;159.02810501877400000000;0.9726;45,175;660;0.0002;0.77730849746635800000
finish;1 - NGSL;609;61.99957698450800000000;158.47388267596200000000;0.9476;46,045;652;0.0002;0.77597678337066500000
suppose;1 - NGSL;610;61.97227505610570000000;157.48076130108200000000;0.8969;48,003;621;0.0002;0.77066395041701400000
apply;1 - NGSL;611;61.97202154935170000000;157.47156908862600000000;0.8954;48,093;619;0.0002;0.77031282378012800000
president;1 - NGSL;612;61.96957085683540000000;157.38273408194400000000;0.6479;63,892;482;0.0002;0.74284408752967600000
fire;1 - NGSL;613;61.96088738514150000000;157.06837061764800000000;0.9589;45,180;659;0.0002;0.77714339232941700000
compare;1 - NGSL;614;61.95197707089290000000;156.74644761586200000000;0.8903;48,070;620;0.0002;0.77048850953403500000
court;1 - NGSL;615;61.93575436511560000000;156.16202662712200000000;0.9224;46,495;644;0.0002;0.77462469016609400000
police;1 - NGSL;616;61.93488741836530000000;156.13085638314500000000;0.9604;44,858;663;0.0002;0.77780113757092200000
store;1 - NGSL;617;61.92396194920400000000;155.73857439554200000000;0.9353;45,766;654;0.0002;0.77631169004966000000
poor;1 - NGSL;618;61.91823721350080000000;155.53341986156200000000;0.9819;43,812;673;0.0002;0.77942077236574200000
knowledge;1 - NGSL;619;61.91479252470330000000;155.41010450026800000000;0.9137;46,599;641;0.0002;0.77411447783134900000
laugh;1 - NGSL;620;61.90791190546950000000;155.16407993065300000000;0.4900;78,502;385;0.0003;0.71772789572609400000
arm;1 - NGSL;621;61.90452944588660000000;155.04327897133800000000;0.8538;49,255;604;0.0002;0.76765086115952100000
heart;1 - NGSL;622;61.90004034703290000000;154.88310078692800000000;0.9472;45,018;661;0.0002;0.77747302880127300000
source;1 - NGSL;623;61.89704286778410000000;154.77623811144100000000;0.8980;47,130;630;0.0002;0.77222742936392900000
employee;1 - NGSL;624;61.88781549031430000000;154.44773690020600000000;0.8004;51,897;571;0.0002;0.76155936789296400000
manage;1 - NGSL;625;61.86664572008910000000;153.69671029287300000000;0.9694;43,784;674;0.0002;0.77958079368983300000
simply;1 - NGSL;626;61.86032389602780000000;153.47314385203100000000;0.9782;43,380;677;0.0002;0.78005737099247500000
bank;1 - NGSL;627;61.85209469207210000000;153.18261149380100000000;0.9040;46,435;645;0.0002;0.77479440033839900000
firm;1 - NGSL;628;61.84154449947650000000;152.81094095016900000000;0.8807;47,339;627;0.0002;0.77170984897260300000
cell;1 - NGSL;629;61.83806815152230000000;152.68867104591000000000;0.6424;61,511;496;0.0002;0.74603963852168200000
article;1 - NGSL;630;61.81407110621840000000;151.84731276125100000000;0.8932;46,419;647;0.0002;0.77513373662283900000
fast;1 - NGSL;631;61.79909854179380000000;151.32471135185000000000;0.9708;43,056;685;0.0002;0.78132112792344600000
attack;1 - NGSL;632;61.78567810066240000000;150.85781392013000000000;0.9053;45,637;655;0.0002;0.77647848369956800000
foreign;1 - NGSL;633;61.78531762921830000000;150.84529299722200000000;0.8770;46,957;636;0.0002;0.77325924966854900000
surprise;1 - NGSL;634;61.78462060234990000000;150.82108481833000000000;0.9608;43,298;681;0.0002;0.78069055239058500000
feature;1 - NGSL;635;61.77432103085700000000;150.46382676400500000000;0.8639;47,344;626;0.0002;0.77153683487016400000
factor;1 - NGSL;636;61.76872615386670000000;150.27011382937000000000;0.8309;48,913;606;0.0002;0.76800911098206100000
pretty;1 - NGSL;637;61.75887758725750000000;149.92972994082700000000;0.8675;47,086;631;0.0002;0.77239951880450500000
recently;1 - NGSL;638;61.75734691270110000000;149.87689639249300000000;0.9532;43,330;678;0.0002;0.78021573304192000000
affect;1 - NGSL;639;61.75569757630290000000;149.81998788981500000000;0.9351;44,063;670;0.0002;0.77893935612117900000
drop;1 - NGSL;640;61.75268490012900000000;149.71609465371500000000;0.9771;42,355;702;0.0002;0.78397208962624000000
recent;1 - NGSL;641;61.74087890678200000000;149.30965455617400000000;0.9146;44,756;664;0.0002;0.77796471135086600000
relate;1 - NGSL;642;61.73800068748360000000;149.21073468157100000000;0.8496;47,711;625;0.0002;0.77136380249377600000
official;1 - NGSL;643;61.73350867949080000000;149.05648236438200000000;0.8736;46,530;643;0.0002;0.77445476070639100000
financial;1 - NGSL;644;61.73064565282850000000;148.95825131000400000000;0.7897;50,878;581;0.0002;0.76343955631960800000
miss;1 - NGSL;645;61.72173994056660000000;148.65310810481500000000;0.9708;42,292;703;0.0002;0.78412665800369400000
art;1 - NGSL;646;61.72043820878990000000;148.60855826935300000000;0.9479;43,167;683;0.0002;0.78100623121954300000
campaign;1 - NGSL;647;61.71334825044550000000;148.36614926741100000000;0.8578;47,071;634;0.0002;0.77291563362505300000
private;1 - NGSL;648;61.71309984031950000000;148.35766318219800000000;0.9604;42,621;694;0.0002;0.78272999098063700000
pause;1 - NGSL;649;61.69560482643490000000;147.76122490487200000000;0.0940;217,922;122;0.0008;0.59723561042854000000
everyone;1 - NGSL;650;61.69355197293850000000;147.69139660160500000000;0.9616;42,373;701;0.0002;0.78381729099701700000
forget;1 - NGSL;651;61.68052507402890000000;147.24905198436700000000;0.8955;44,917;662;0.0002;0.77763719100240200000
page;1 - NGSL;652;61.67986102595500000000;147.22653892506100000000;0.9082;44,397;668;0.0002;0.77861679532270600000
worry;1 - NGSL;653;61.67880504000730000000;147.19074518069900000000;0.9470;42,801;692;0.0002;0.78241841282602700000
summer;1 - NGSL;654;61.67000573355880000000;146.89282169226600000000;0.9497;42,596;696;0.0002;0.78304139736011800000
drink;1 - NGSL;655;61.66451378425930000000;146.70718312291900000000;0.9405;42,902;689;0.0002;0.78194887464886900000
opinion;1 - NGSL;656;61.66122816444490000000;146.59623496259300000000;0.8168;48,361;615;0.0002;0.76960838859674300000
park;1 - NGSL;657;61.65433489771780000000;146.36373709675100000000;0.8464;46,851;639;0.0002;0.77377318623427500000
represent;1 - NGSL;658;61.64426589539160000000;146.02478972801200000000;0.8936;44,664;666;0.0002;0.77829143130032500000
key;1 - NGSL;659;61.64176491314310000000;145.94072228380600000000;0.9723;41,473;722;0.0002;0.78703292505991400000
inside;1 - NGSL;660;61.62160937888170000000;145.26498309283200000000;0.9497;42,125;706;0.0002;0.78458875868326100000
manager;1 - NGSL;661;61.60381616749050000000;144.67104441458300000000;0.8518;46,152;649;0.0002;0.77547151962154100000
international;1 - NGSL;662;61.59295298266710000000;144.30962504170100000000;0.9230;42,939;688;0.0002;0.78179207684953300000
contain;1 - NGSL;663;61.57905039644630000000;143.84840131534900000000;0.8359;46,576;642;0.0002;0.77428470332904000000
notice;1 - NGSL;664;61.56221028480240000000;143.29169780317300000000;0.9509;41,512;721;0.0002;0.78688134995544500000
wonder;1 - NGSL;665;61.55939104277490000000;143.19870954265300000000;0.8913;43,877;672;0.0002;0.77926064870753100000
nature;1 - NGSL;666;61.54620047705450000000;142.76444051760400000000;0.9485;41,450;723;0.0002;0.78718441610421300000
structure;1 - NGSL;667;61.54540092507210000000;142.73815948265100000000;0.8008;47,946;623;0.0002;0.77101445939439600000
section;1 - NGSL;668;61.53730341204820000000;142.47226910329100000000;0.8369;46,142;650;0.0002;0.77564015894038400000
myself;1 - NGSL;669;61.52880351636220000000;142.19369887483600000000;0.9089;42,834;691;0.0002;0.78226198416047700000
exactly;1 - NGSL;670;61.52019503472250000000;141.91212507292200000000;0.9163;42,494;699;0.0002;0.78350751465386300000
plant;1 - NGSL;671;61.51566993845610000000;141.76433788694800000000;0.9474;41,204;728;0.0002;0.78793921429339900000
paint;1 - NGSL;672;61.50976822086920000000;141.57182223092200000000;0.9556;40,829;737;0.0001;0.78928972497391200000
worker;1 - NGSL;673;61.50087974949350000000;141.28237110638000000000;0.9481;41,041;735;0.0001;0.78899111035933000000
press;1 - NGSL;674;61.50034162441620000000;141.26486619208300000000;0.9615;40,539;740;0.0001;0.78973545950398900000
whatever;1 - NGSL;675;61.49925715431230000000;141.22959556242200000000;0.9079;42,631;693;0.0002;0.78257422017728200000
necessary;1 - NGSL;676;61.49511296623700000000;141.09489367906400000000;0.9300;41,677;718;0.0002;0.78642559033647900000
region;1 - NGSL;677;61.48320413334210000000;140.70852591822200000000;0.9209;41,925;710;0.0002;0.78520322755672000000
growth;1 - NGSL;678;61.46093120181350000000;139.98874502606300000000;0.8525;44,627;667;0.0002;0.77845453361236200000
evening;1 - NGSL;679;61.45937530051840000000;139.93860170916400000000;0.8994;42,537;697;0.0002;0.78319686116111600000
influence;1 - NGSL;680;61.45826671698270000000;139.90288542948800000000;0.9000;42,505;698;0.0002;0.78335220800883400000
respect;1 - NGSL;681;61.45628761594360000000;139.83914552976000000000;0.9418;40,876;736;0.0001;0.78914050355418500000
various;1 - NGSL;682;61.45518425472380000000;139.80362274543900000000;0.9234;41,555;720;0.0002;0.78672963231416800000
